,region,price_sold_sek,number_of_rooms,area_size,floor_number,has_elevator,year_built,annual_fee_sek,annual_cost_sek,broker,brokerage_firm,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri
34,södermalm,4275000,1.0,355,1,True,1961.0,0,4800,mikaela bogestedt,södermäklarna,False,False,False,False,False,False,True,False,False,False,False,False,1.0,False,False,False,False,False
36,råsunda,2770000,3.0,50,1 av 2,True,1933.0,3256,0,michaela holmström,notar,False,False,False,False,False,True,False,False,False,False,True,False,1.0,False,False,False,True,False
37,karolinska,2150000,1.0,34,4 av 4,True,1972.0,2150,3900,ebba henriksson,svenska mäklarhuset solna,False,False,False,False,False,False,False,False,False,False,True,False,4.0,False,False,False,False,False
38,bromma,3050000,2.0,38,3 av 3,False,1938.0,3059,3600,gustav strand,bosthlm bromma,True,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
40,mörbylund,5100000,5.0,102,6 av 10,True,1972.0,5984,6990,shervin hashemi,fastighetsbyrån danderyd,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
41,kungsholmen rådhuset,8850000,3.0,79,3 av 4,True,1907.0,4090,0,kajsa allermalm,husmanhagberg kungsholmen,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
42,södermalm sofia,5550000,2.0,60,1 av 3,True,1914.0,3655,12276,caroline klasson,bjurfors södermalm,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
43,östermalm / nedre gärdet,8750000,3.0,84,1,True,1932.0,4062,7235,richard petersson,fastighetsbyrån stockholm – östermalm,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
45,gärdet,3500000,1.0,415,6 av 10,True,2010.0,2150,7860,viktor bjälkenfalk,länsförsäkringar fastighetsförmedling stockholm - östermalm,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
46,katarina,3500000,1.0,40,5 av 5,True,1932.0,0,2400,felipe osorio åström,fastighetsbyrån stockholm - södermalm,False,False,False,False,False,False,False,False,False,False,False,True,5.0,False,True,False,False,False
48,bromma traneberg,3680000,2.0,49,3 av 4,True,2023.0,4256,6000,joel beck-friis,husmanhagberg bromma,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
49,södermalm,3475000,2.0,37,1,True,1911.0,2145,0,pelle lundin andersson,notar,False,False,False,False,False,False,True,False,False,False,True,False,1.0,False,False,False,True,False
50,råsunda,3545000,2.0,56,unknown,False,2019.0,3439,4020,aleidon adam,länsförsäkringar fastighetsförmedling solna,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,True,False,False
51,midsommarkransen,2225000,2.0,29,3 av 4,True,1940.0,2835,4714,kristoffer pettersson,svenska mäklarhuset hägersten/liljeholmen,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
52,södermalm,6850000,3.0,64,unknown,False,1912.0,3797,7200,babil yilmaz,södermäklarna,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,False,False
53,rönninge,2900000,4.0,89,unknown,False,1999.0,3630,7200,ann sjöblom,fastighetsbyrån salem,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
54,bromma / annedal,2925000,2.0,54,4 av 5,True,2011.0,3815,7720,daniel andersson,svenska mäklarhuset bromma,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
55,centrala handen,1595000,1.0,33,2 av 7,True,2020.0,1987,0,elin hultman,mohv haninge/tyresö,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
56,tyresö centrum,1350000,1.0,27,1 av 3,True,1964.0,1733,0,david hedenström,husmanhagberg tyresö/älta,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
57,vasastan,5725000,2.0,57,5,True,2018.0,4932,0,erik wikingskiöld,notar,False,False,False,False,False,False,False,True,False,False,False,False,5.0,False,False,False,True,False
58,norra nynäshamn,1195000,2.0,585,3 av 3,True,1961.0,4811,6360,elin norin,länsförsäkringar fastighetsförmedling nynäshamn,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
59,örby,1400000,1.0,27,1 av 3,True,1958.0,1608,7040,jessica holappa,husmanhagberg hägersten,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
60,kungsholmen,11000000,3.0,118,0,True,1930.0,2835,6600,vilhelm åman,bjurfors kungsholmen,False,False,False,False,True,False,False,False,False,False,True,False,0.0,False,False,False,False,False
61,södermalm,5375000,3.0,76,unknown,False,2023.0,4101,0,eric hultman,notar,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,True,False
62,årsta,5200000,3.0,74,1 av 6,True,1946.0,3786,4000,johan nilsson,husmanhagberg enskede,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,False,False
63,flemingsberg,1270000,3.0,83,11 av 11,True,1975.0,8366,4884,mithat bircan,notar,False,False,False,False,False,False,False,False,False,False,False,False,11.0,False,False,False,True,False
64,järfälla barkarbystaden,3395000,3.0,915,1 av 5,True,2015.0,5249,8268,günay coksürer,notar,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,True,False
65,porslinskvarteren,2820000,2.0,64,4 av 5,True,2015.0,4111,5160,morgan flodman,widerlöv nacka/värmdö,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
